~id,~labels,bodypart
5644,BodyParts,右手
5645,BodyParts,右手手背
5646,BodyParts,左胸部
5647,BodyParts,右胸部
5648,BodyParts,右手食指
5649,BodyParts,右手中指
5650,BodyParts,右手拇指
5651,BodyParts,右手无名指
5652,BodyParts,右手小指
5653,BodyParts,左手
5654,BodyParts,左手手背
5655,BodyParts,左手食指
5656,BodyParts,左手中指
5657,BodyParts,左手拇指
5658,BodyParts,左手无名指
5659,BodyParts,左手小指
5660,BodyParts,左手掌心
5661,BodyParts,左手手腕
5662,BodyParts,表情
5663,BodyParts,左耳朵
5664,BodyParts,右耳朵
5665,BodyParts,右手食指指尖
5666,BodyParts,右手中指指尖
5667,BodyParts,右手拇指指尖
5668,BodyParts,右手无名指指尖
5669,BodyParts,右手小指指尖
5670,BodyParts,左手食指指尖
5671,BodyParts,左手中指指尖
5672,BodyParts,左手拇指指尖
5673,BodyParts,左手无名指指尖
5674,BodyParts,左手小指指尖
5675,BodyParts,右手手腕
5676,BodyParts,左手虎口
5677,BodyParts,右手虎口
5678,BodyParts,右臂肘部
5679,BodyParts,左臂肘部 
5680,BodyParts,右手掌心
5681,BodyParts,左眼
5682,BodyParts,右眼
5683,BodyParts,头
5684,BodyParts,口
5685,BodyParts,右手拇指指背
5686,BodyParts,右手食指指背
5687,BodyParts,右手中指指背
5688,BodyParts,右手无名指指背
5689,BodyParts,右手小指指背
5690,BodyParts,左手拇指指背
5691,BodyParts,左手食指指背
5692,BodyParts,左手中指指背
5693,BodyParts,左手无名指指背
5694,BodyParts,左手小指指背
5695,BodyParts,左臂
5696,BodyParts,右臂
5697,BodyParts,右手拇指指面
5698,BodyParts,右手食指指面
5699,BodyParts,右手中指指面
5700,BodyParts,右手无名指指面
5701,BodyParts,右手小指指面
5702,BodyParts,左手拇指指面
5703,BodyParts,左手食指指面
5704,BodyParts,左手中指指面
5705,BodyParts,左手无名指指面
5706,BodyParts,左手小指指面
